id,post_id,comment_time,user_id,content
1,1,2023-11-15 08:30:00,2,"Great crunchy vibes!"
2,2,2023-11-14 19:00:00,3,"Lovely moments by the fire."
3,3,2023-11-14 13:00:00,1,"Yum! Chocochips make everything better."
4,4,2023-11-13 23:00:00,5,"S'mores under the stars are pure magic."
5,5,2023-11-13 15:30:00,4,"That crunchiness is irresistible!"
6,1,2023-11-15 09:15:00,3,"Crunching through the day!"
7,2,2023-11-14 20:45:00,5,"Mellow moments with marshmallows."
8,3,2023-11-14 14:30:00,2,"Chocochip delight!"
9,4,2023-11-13 23:45:00,4,"S'mores are the best camping treat."
10,5,2023-11-13 16:45:00,1,"Couldn't agree more! Crunchy goodness!"
